

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B363	4.661	3	ULS-Set  B  (auto)/2	58.5	0.0	58.5
B364	4.744	15	ULS-Set  B  (auto)/1	25.6	0.0	25.6
B364	4.744	3	ULS-Set  B  (auto)/2	61.2	0.0	61.2
B365	1.595	13	ULS-Set  B  (auto)/1	32.5	0.0	32.5
B365	1.595	1	ULS-Set  B  (auto)/2	61.1	0.0	61.1
B366	3.191	13	ULS-Set  B  (auto)/1	32.5	0.0	32.5
B366	3.191	1	ULS-Set  B  (auto)/2	61.1	0.0	61.1
B367	0.000	15	ULS-Set  B  (auto)/1	25.6	0.0	25.6
B367	0.000	3	ULS-Set  B  (auto)/2	61.2	0.0	61.2
B368	0.000	15	ULS-Set  B  (auto)/1	14.2	0.0	14.2
B368	0.000	3	ULS-Set  B  (auto)/2	58.5	0.0	58.5
B369	0.000	15	ULS-Set  B  (auto)/1	0.1	0.0	0.2
B369	0.000	3	ULS-Set  B  (auto)/2	50.7	0.0	50.7
B370	1.597	24	ULS-Set  B  (auto)/1	0.7	0.0	0.7
B370	4.393	15	ULS-Set  B  (auto)/2	61.7	0.0	61.7
B371	2.780	16	ULS-Set  B  (auto)/1	0.0	0.0	0.1
B371	0.000	15	ULS-Set  B  (auto)/2	34.2	0.0	34.2
B372	4.527	15	ULS-Set  B  (auto)/1	9.5	0.0	9.5
B372	4.527	3	ULS-Set  B  (auto)/2	40.9	0.0	40.9
B373	4.654	15	ULS-Set  B  (auto)/1	21.8	0.0	21.8
B373	4.654	3	ULS-Set  B  (auto)/2	52.6	0.0	52.6
B374	3.952	15	ULS-Set  B  (auto)/1	30.5	0.0	30.5
B374	3.952	3	ULS-Set  B  (auto)/2	59.6	0.0	59.6
B375	1.995	13	ULS-Set  B  (auto)/1	34.6	0.0	34.6
B375	1.995	1	ULS-Set  B  (auto)/2	63.4	0.0	63.4
B376	2.793	13	ULS-Set  B  (auto)/1	34.6	0.0	34.6
B376	2.793	1	ULS-Set  B  (auto)/2	63.4	0.0	63.4
B377	0.790	15	ULS-Set  B  (auto)/1	30.5	0.0	30.5
B377	0.790	3	ULS-Set  B  (auto)/2	59.6	0.0	59.6
B378	0.000	15	ULS-Set  B  (auto)/1	21.8	0.0	21.8
B378	0.000	3	ULS-Set  B  (auto)/2	52.6	0.0	52.6
B379	0.000	15	ULS-Set  B  (auto)/1	9.5	0.0	9.5
B379	0.000	3	ULS-Set  B  (auto)/2	40.9	0.0	40.9
B380	1.588	16	ULS-Set  B  (auto)/1	0.0	0.0	0.1
B380	4.368	15	ULS-Set  B  (auto)/2	34.2	0.0	34.2
B381	2.180-	15	ULS-Set  B  (auto)/1	3.6	0.0	3.6
B381	2.378	3	ULS-Set  B  (auto)/2	11.0	0.0	11.0
B382	2.878	13	ULS-Set  B  (auto)/1	16.5	0.0	16.5
B382	2.878	1	ULS-Set  B  (auto)/2	32.0	0.0	32.0
B383	2.326+	15	ULS-Set  B  (auto)/1	25.8	0.0	25.8
B383	2.326+	3	ULS-Set  B  (auto)/2	48.4	0.0	48.4
B384	2.371+	15	ULS-Set  B  (auto)/1	32.2	0.0	32.2
B384	2.371+	3	ULS-Set  B  (auto)/2	58.8	0.0	58.8
B385	2.394-	13	ULS-Set  B  (auto)/1	35.3	0.0	35.3
B385	2.394-	1	ULS-Set  B  (auto)/2	64.1	0.0	64.1
B386	2.394-	13	ULS-Set  B  (auto)/1	35.3	0.0	35.3
B386	2.394-	1	ULS-Set  B  (auto)/2	64.1	0.0	64.1
B387	2.371-	15	ULS-Set  B  (auto)/1	32.2	0.0	32.2
B387	2.371-	3	ULS-Set  B  (auto)/2	58.8	0.0	58.8
B388	2.326-	15	ULS-Set  B  (auto)/1	25.8	0.0	25.8
B388	2.326-	3	ULS-Set  B  (auto)/2	48.4	0.0	48.4
B389	1.644	13	ULS-Set  B  (auto)/1	16.5	0.0	16.5
B389	1.644	1	ULS-Set  B  (auto)/2	32.0	0.0	32.0
B390	2.180+	15	ULS-Set  B  (auto)/1	3.6	0.0	3.6
B390	1.982	3	ULS-Set  B  (auto)/2	11.0	0.0	11.0
B391	2.780	12	ULS-Set  B  (auto)/1	0.0	0.0	0.1
B391	0.000	13	ULS-Set  B  (auto)/2	33.9	0.0	33.9
B392	4.527	13	ULS-Set  B  (auto)/1	9.4	0.0	9.4
B392	4.527	1	ULS-Set  B  (auto)/2	40.9	0.0	40.9
B393	4.654	13	ULS-Set  B  (auto)/1	21.7	0.0	21.7
B393	4.654	1	ULS-Set  B  (auto)/2	52.6	0.0	52.6
B394	3.952	13	ULS-Set  B  (auto)/1	30.5	0.0	30.5
B394	3.952	1	ULS-Set  B  (auto)/2	59.6	0.0	59.6
B395	1.995	15	ULS-Set  B  (auto)/1	34.6	0.0	34.6
B395	1.995	3	ULS-Set  B  (auto)/2	63.3	0.0	63.3
B396	2.793	15	ULS-Set  B  (auto)/1	34.6	0.0	34.6
B396	2.793	3	ULS-Set  B  (auto)/2	63.3	0.0	63.3
B397	0.790	13	ULS-Set  B  (auto)/1	30.5	0.0	30.5
B397	0.790	1	ULS-Set  B  (auto)/2	59.6	0.0	59.6
B398	0.000	13	ULS-Set  B  (auto)/1	21.7	0.0	21.7
B398	0.000	1	ULS-Set  B  (auto)/2	52.6	0.0	52.6
B399	0.000	13	ULS-Set  B  (auto)/1	9.4	0.0	9.4
B399	0.000	1	ULS-Set  B  (auto)/2	40.9	0.0	40.9
B400	1.588	12	ULS-Set  B  (auto)/1	0.0	0.0	0.1
B400	4.368	13	ULS-Set  B  (auto)/2	33.9	0.0	33.9
B401	2.796	4	ULS-Set  B  (auto)/1	0.6	0.0	0.6
B401	0.000	13	ULS-Set  B  (auto)/2	61.3	0.0	61.3
B402	4.542	13	ULS-Set  B  (auto)/1	0.1	-0.1	0.1
B402	4.542	1	ULS-Set  B  (auto)/2	50.7	0.0	50.7
B403	4.661	13	ULS-Set  B  (auto)/1	14.1	0.0	14.1
B403	4.661	1	ULS-Set  B  (auto)/2	58.4	0.0	58.4
B404	4.744	13	ULS-Set  B  (auto)/1	25.5	0.0	25.5
B404	4.744	1	ULS-Set  B  (auto)/2	61.1	0.0	61.1
B405	1.595	15	ULS-Set  B  (auto)/1	32.4	0.0	32.4
B405	1.595	3	ULS-Set  B  (auto)/2	60.9	0.0	60.9
B406	3.191	15	ULS-Set  B  (auto)/1	32.4	0.0	32.4
B406	3.191	3	ULS-Set  B  (auto)/2	60.9	0.0	60.9
B407	0.000	13	ULS-Set  B  (auto)/1	25.5	0.0	25.5
B407	0.000	1	ULS-Set  B  (auto)/2	61.1	0.0	61.1
B408	0.000	13	ULS-Set  B  (auto)/1	14.1	0.0	14.1
B408	0.000	1	ULS-Set  B  (auto)/2	58.4	0.0	58.4
B409	0.000	13	ULS-Set  B  (auto)/1	0.1	-0.1	0.1
B409	0.000	1	ULS-Set  B  (auto)/2	50.7	0.0	50.7
B410	1.597	4	ULS-Set  B  (auto)/1	0.6	0.0	0.6
B410	4.393	13	ULS-Set  B  (auto)/2	61.3	0.0	61.3
B411	2.216-	16	ULS-Set  B  (auto)/1	0.2	-0.2	0.3
B411	0.000	13	ULS-Set  B  (auto)/2	82.8	0.0	82.8
B412	0.415	15	ULS-Set  B  (auto)/1	0.0	-1.1	1.1
B412	4.567	1	ULS-Set  B  (auto)/2	57.5	0.0	57.5
B413	4.673	13	ULS-Set  B  (auto)/1	6.3	0.0	6.3
B413	4.673	1	ULS-Set  B  (auto)/2	61.6	0.0	61.6
B414	4.746	13	ULS-Set  B  (auto)/1	19.9	0.0	19.9
B414	4.746	1	ULS-Set  B  (auto)/2	61.3	0.0	61.3
B415	3.588	13	ULS-Set  B  (auto)/1	29.6	0.0	29.6
B415	3.987	1	ULS-Set  B  (auto)/2	57.7	0.0	57.7
B416	1.196	13	ULS-Set  B  (auto)/1	29.6	0.0	29.6
B416	0.797	1	ULS-Set  B  (auto)/2	57.7	0.0	57.7
B417	0.000	13	ULS-Set  B  (auto)/1	19.9	0.0	19.9
B417	0.000	1	ULS-Set  B  (auto)/2	61.3	0.0	61.3
B418	0.000	13	ULS-Set  B  (auto)/1	6.3	0.0	6.3
B418	0.000	1	ULS-Set  B  (auto)/2	61.6	0.0	61.6
B419	4.152	15	ULS-Set  B  (auto)/1	0.0	-1.1	1.1
B419	0.000	1	ULS-Set  B  (auto)/2	57.5	0.0	57.5
B420	2.216+	16	ULS-Set  B  (auto)/1	0.2	-0.2	0.3
B420	4.433	13	ULS-Set  B  (auto)/2	82.8	0.0	82.8
B421	2.447	15	ULS-Set  B  (auto)/1	0.4	-0.2	0.5
B421	0.000	13	ULS-Set  B  (auto)/2	146.8	0.0	146.8
B422	2.683	12	ULS-Set  B  (auto)/1	0.2	0.0	0.2
B422	4.599	1	ULS-Set  B  (auto)/2	73.9	0.0	73.9
B423	3.516	13	ULS-Set  B  (auto)/1	0.3	0.0	0.3
B423	4.688	1	ULS-Set  B  (auto)/2	68.8	0.0	68.8
B424	4.750	13	ULS-Set  B  (auto)/1	6.2	0.0	6.2
B424	4.750	1	ULS-Set  B  (auto)/2	61.5	0.0	61.5
B425	0.398	15	ULS-Set  B  (auto)/1	21.9	0.0	21.9
B425	0.398	3	ULS-Set  B  (auto)/2	51.0	0.0	51.0
B426	4.383	15	ULS-Set  B  (auto)/1	21.9	0.0	21.9
B426	4.383	3	ULS-Set  B  (auto)/2	51.0	0.0	51.0
B427	0.000	13	ULS-Set  B  (auto)/1	6.2	0.0	6.2
B427	0.000	1	ULS-Set  B  (auto)/2	61.5	0.0	61.5
B428	1.172	13	ULS-Set  B  (auto)/1	0.3	0.0	0.3
B428	0.000	1	ULS-Set  B  (auto)/2	68.8	0.0	68.8
B429	1.916	12	ULS-Set  B  (auto)/1	0.2	0.0	0.2
B429	0.000	1	ULS-Set  B  (auto)/2	73.9	0.0	73.9
B430	2.039	15	ULS-Set  B  (auto)/1	0.4	-0.2	0.5
B430	4.486	13	ULS-Set  B  (auto)/2	146.8	0.0	146.8
B431	0.000	3	ULS-Set  B  (auto)/1	0.3	-0.4	0.6
B431	0.000	1	ULS-Set  B  (auto)/2	0.0	-244.0	244.0
B432	4.638	1	ULS-Set  B  (auto)/1	0.0	-19.6	19.6
B432	4.638	13	ULS-Set  B  (auto)/2	0.0	-120.1	120.1
B433	0.000	13	ULS-Set  B  (auto)/1	0.0	-9.0	9.0
B433	0.000	1	ULS-Set  B  (auto)/2	0.0	-85.4	85.4
B434	4.754	1	ULS-Set  B  (auto)/1	0.0	-7.0	7.0
B434	4.754	13	ULS-Set  B  (auto)/2	0.0	-53.8	53.8
B435	4.380	1	ULS-Set  B  (auto)/1	0.0	-9.8	9.8
B435	4.380	13	ULS-Set  B  (auto)/2	0.0	-32.8	32.8
B436	0.398	1	ULS-Set  B  (auto)/1	0.0	-9.8	9.8
B436	0.398	13	ULS-Set  B  (auto)/2	0.0	-32.8	32.8
B437	0.000	1	ULS-Set  B  (auto)/1	0.0	-7.0	7.0
B437	0.000	13	ULS-Set  B  (auto)/2	0.0	-53.8	53.8
B438	4.707	13	ULS-Set  B  (auto)/1	0.0	-9.0	9.0
B438	4.707	1	ULS-Set  B  (auto)/2	0.0	-85.4	85.4
B439	0.000	1	ULS-Set  B  (auto)/1	0.0	-19.6	19.6
B439	0.000	13	ULS-Set  B  (auto)/2	0.0	-120.1	120.1
B440	4.549	3	ULS-Set  B  (auto)/1	0.3	-0.4	0.6
B440	4.549	1	ULS-Set  B  (auto)/2	0.0	-244.0	244.0
B441	1.930+	13	ULS-Set  B  (auto)/1	3.4	0.0	3.4
B441	1.930-	1	ULS-Set  B  (auto)/2	36.0	0.0	36.0
B442	1.946+	13	ULS-Set  B  (auto)/1	10.3	0.0	10.3
B442	1.946-	1	ULS-Set  B  (auto)/2	45.2	0.0	45.2
B443	1.958+	13	ULS-Set  B  (auto)/1	1.3	0.0	1.3
B443	1.958-	1	ULS-Set  B  (auto)/2	32.6	0.0	32.6
B444	1.967+	11	ULS-Set  B  (auto)/1	0.1	0.0	0.1
B444	1.967+	1	ULS-Set  B  (auto)/2	15.3	0.0	15.3
B445	1.971+	1	ULS-Set  B  (auto)/1	0.0	-3.4	3.4
B445	1.971-	13	ULS-Set  B  (auto)/2	0.0	-33.5	33.5
B446	1.971+	1	ULS-Set  B  (auto)/1	0.0	-18.6	18.6
B446	1.971-	13	ULS-Set  B  (auto)/2	0.0	-52.7	52.7
B447	1.967+	1	ULS-Set  B  (auto)/1	0.0	-33.7	33.7
B447	1.967-	13	ULS-Set  B  (auto)/2	0.0	-71.4	71.4
B448	1.958+	1	ULS-Set  B  (auto)/1	0.0	-47.4	47.4
B448	1.958-	13	ULS-Set  B  (auto)/2	0.0	-88.0	88.0
B449	1.946+	1	ULS-Set  B  (auto)/1	0.0	-57.0	57.0
B449	1.946-	13	ULS-Set  B  (auto)/2	0.0	-99.0	99.0
B450	1.930+	1	ULS-Set  B  (auto)/1	0.0	-63.9	63.9
B450	1.930-	13	ULS-Set  B  (auto)/2	0.0	-106.3	106.3
B451	2.035+	13	ULS-Set  B  (auto)/1	17.5	0.0	17.5
B451	2.035-	1	ULS-Set  B  (auto)/2	58.5	0.0	58.5
B452	2.056+	13	ULS-Set  B  (auto)/1	5.8	0.0	5.8
B452	2.056-	1	ULS-Set  B  (auto)/2	42.8	0.0	42.8
B453	2.073+	13	ULS-Set  B  (auto)/1	0.7	0.0	0.7
B453	2.073-	1	ULS-Set  B  (auto)/2	35.6	0.0	35.6
B454	2.918	12	ULS-Set  B  (auto)/1	0.5	-1.0	1.3
B454	2.084+	1	ULS-Set  B  (auto)/2	29.2	0.0	29.2
B455	2.090+	5	ULS-Set  B  (auto)/1	0.2	0.0	0.2
B455	2.090+	1	ULS-Set  B  (auto)/2	20.9	0.0	20.9
B456	2.090+	7	ULS-Set  B  (auto)/1	0.5	0.0	0.5
B456	2.090-	13	ULS-Set  B  (auto)/2	0.0	-19.8	19.8
B457	2.918	1	ULS-Set  B  (auto)/1	1.0	-0.4	1.3
B457	2.084-	13	ULS-Set  B  (auto)/2	0.0	-26.8	26.8
B458	2.073+	1	ULS-Set  B  (auto)/1	0.0	-3.4	3.4
B458	2.073-	13	ULS-Set  B  (auto)/2	0.0	-32.1	32.1
B459	2.056+	1	ULS-Set  B  (auto)/1	0.0	-10.4	10.4
B459	2.056-	13	ULS-Set  B  (auto)/2	0.0	-39.1	39.1
B460	2.035-	1	ULS-Set  B  (auto)/1	0.0	-21.1	21.1
B460	2.035+	13	ULS-Set  B  (auto)/2	0.0	-51.0	51.0
B461	2.121+	13	ULS-Set  B  (auto)/1	28.3	0.0	28.3
B461	2.121-	1	ULS-Set  B  (auto)/2	76.1	0.0	76.1
B462	2.147+	13	ULS-Set  B  (auto)/1	15.2	0.0	15.2
B462	2.147-	1	ULS-Set  B  (auto)/2	58.7	0.0	58.7
B463	2.168-	13	ULS-Set  B  (auto)/1	5.7	0.0	5.7
B463	2.168+	1	ULS-Set  B  (auto)/2	45.7	0.0	45.7
B464	2.777	12	ULS-Set  B  (auto)/1	0.5	-0.5	0.9
B464	2.182-	1	ULS-Set  B  (auto)/2	34.9	0.0	34.9
B465	2.189+	5	ULS-Set  B  (auto)/1	1.3	0.0	1.3
B465	2.189+	1	ULS-Set  B  (auto)/2	24.5	0.0	24.5
B466	2.189-	7	ULS-Set  B  (auto)/1	1.5	0.0	1.5
B466	2.189-	13	ULS-Set  B  (auto)/2	0.0	-20.7	20.7
B467	3.173	1	ULS-Set  B  (auto)/1	0.9	-0.7	1.4
B467	2.182-	13	ULS-Set  B  (auto)/2	0.0	-29.7	29.7
B468	2.168+	1	ULS-Set  B  (auto)/1	0.0	-6.6	6.6
B468	2.168-	13	ULS-Set  B  (auto)/2	0.0	-39.4	39.4
B469	2.147+	1	ULS-Set  B  (auto)/1	0.0	-18.0	18.0
B469	2.147-	13	ULS-Set  B  (auto)/2	0.0	-52.2	52.2
B470	2.121-	1	ULS-Set  B  (auto)/1	0.0	-29.2	29.2
B470	2.121+	13	ULS-Set  B  (auto)/2	0.0	-64.3	64.3
B471	2.186-	13	ULS-Set  B  (auto)/1	30.7	0.0	30.7
B471	2.186+	1	ULS-Set  B  (auto)/2	81.8	0.0	81.8
B472	2.216+	13	ULS-Set  B  (auto)/1	20.0	0.0	20.0
B472	2.216-	1	ULS-Set  B  (auto)/2	67.7	0.0	67.7
B473	2.239+	13	ULS-Set  B  (auto)/1	10.0	0.0	10.0
B473	2.239-	1	ULS-Set  B  (auto)/2	54.2	0.0	54.2
B474	2.255+	13	ULS-Set  B  (auto)/1	0.4	0.0	0.4
B474	2.255-	1	ULS-Set  B  (auto)/2	40.7	0.0	40.7
B475	2.263-	5	ULS-Set  B  (auto)/1	2.1	0.0	2.1
B475	2.263+	1	ULS-Set  B  (auto)/2	27.3	0.0	27.3
B476	2.263+	7	ULS-Set  B  (auto)/1	0.6	0.0	0.6
B476	2.263-	13	ULS-Set  B  (auto)/2	0.0	-23.6	23.6
B477	2.255+	1	ULS-Set  B  (auto)/1	0.0	0.0	0.0
B477	2.255-	13	ULS-Set  B  (auto)/2	0.0	-35.4	35.4
B478	2.239+	1	ULS-Set  B  (auto)/1	0.0	-10.9	10.9
B478	2.239-	13	ULS-Set  B  (auto)/2	0.0	-47.5	47.5
B479	2.216+	1	ULS-Set  B  (auto)/1	0.0	-22.3	22.3
B479	2.216-	13	ULS-Set  B  (auto)/2	0.0	-60.1	60.1
B480	2.186-	1	ULS-Set  B  (auto)/1	0.0	-30.0	30.0
B480	2.186+	13	ULS-Set  B  (auto)/2	0.0	-67.2	67.2
B481	2.226-	13	ULS-Set  B  (auto)/1	31.4	0.0	31.4
B481	2.226+	1	ULS-Set  B  (auto)/2	84.2	0.0	84.2
B482	2.258-	13	ULS-Set  B  (auto)/1	22.1	0.0	22.1
B482	2.258+	1	ULS-Set  B  (auto)/2	72.1	0.0	72.1
B483	2.283+	13	ULS-Set  B  (auto)/1	12.5	0.0	12.5
B483	2.283-	1	ULS-Set  B  (auto)/2	59.2	0.0	59.2
B484	2.300+	13	ULS-Set  B  (auto)/1	2.0	0.0	2.0
B484	2.300-	1	ULS-Set  B  (auto)/2	44.5	0.0	44.5
B485	3.847	12	ULS-Set  B  (auto)/1	1.2	-1.5	2.3
B485	2.308+	1	ULS-Set  B  (auto)/2	29.2	0.0	29.2
B486	2.308+	7	ULS-Set  B  (auto)/1	0.0	-0.1	0.1
B486	2.308-	13	ULS-Set  B  (auto)/2	0.0	-25.6	25.6
B487	2.300+	1	ULS-Set  B  (auto)/1	0.0	-1.6	1.6
B487	2.300-	13	ULS-Set  B  (auto)/2	0.0	-39.2	39.2
B488	2.283+	1	ULS-Set  B  (auto)/1	0.0	-13.2	13.2
B488	2.283-	13	ULS-Set  B  (auto)/2	0.0	-52.2	52.2
B489	2.258+	1	ULS-Set  B  (auto)/1	0.0	-24.0	24.0
B489	2.258-	13	ULS-Set  B  (auto)/2	0.0	-63.7	63.7
B490	2.226-	1	ULS-Set  B  (auto)/1	0.0	-29.6	29.6
B490	2.226+	13	ULS-Set  B  (auto)/2	0.0	-67.9	67.9
B491	2.240-	13	ULS-Set  B  (auto)/1	31.6	0.0	31.6
B491	2.240-	1	ULS-Set  B  (auto)/2	84.9	0.0	84.9
B492	2.272-	13	ULS-Set  B  (auto)/1	22.6	0.0	22.6
B492	2.272-	1	ULS-Set  B  (auto)/2	73.4	0.0	73.4
B493	2.298-	13	ULS-Set  B  (auto)/1	13.2	0.0	13.2
B493	2.298-	1	ULS-Set  B  (auto)/2	60.8	0.0	60.8
B494	2.315-	13	ULS-Set  B  (auto)/1	2.5	0.0	2.5
B494	2.315-	1	ULS-Set  B  (auto)/2	45.7	0.0	45.7
B495	3.873	12	ULS-Set  B  (auto)/1	1.3	-1.4	2.4
B495	2.324+	1	ULS-Set  B  (auto)/2	29.8	0.0	29.8
B496	2.324+	7	ULS-Set  B  (auto)/1	0.0	-0.3	0.3
B496	2.324-	13	ULS-Set  B  (auto)/2	0.0	-26.3	26.3
B497	2.315-	1	ULS-Set  B  (auto)/1	0.0	-2.2	2.2
B497	2.315-	13	ULS-Set  B  (auto)/2	0.0	-40.5	40.5
B498	2.297-	1	ULS-Set  B  (auto)/1	0.0	-14.0	14.0
B498	2.297-	13	ULS-Set  B  (auto)/2	0.0	-53.7	53.7
B499	2.272+	1	ULS-Set  B  (auto)/1	0.0	-24.4	24.4
B499	2.272-	13	ULS-Set  B  (auto)/2	0.0	-64.8	64.8
B500	2.239-	1	ULS-Set  B  (auto)/1	0.0	-29.4	29.4
B500	2.239-	13	ULS-Set  B  (auto)/2	0.0	-68.1	68.1
B501	2.226+	13	ULS-Set  B  (auto)/1	31.4	0.0	31.4
B501	2.226-	1	ULS-Set  B  (auto)/2	84.2	0.0	84.2
B502	2.258-	13	ULS-Set  B  (auto)/1	22.1	0.0	22.1
B502	2.258+	1	ULS-Set  B  (auto)/2	72.1	0.0	72.1
B503	2.283-	13	ULS-Set  B  (auto)/1	12.5	0.0	12.5
B503	2.283+	1	ULS-Set  B  (auto)/2	59.2	0.0	59.2
B504	2.300-	13	ULS-Set  B  (auto)/1	2.0	0.0	2.0
B504	2.300+	1	ULS-Set  B  (auto)/2	44.5	0.0	44.5
B505	0.769	12	ULS-Set  B  (auto)/1	1.1	-1.6	2.4
B505	2.308+	1	ULS-Set  B  (auto)/2	29.2	0.0	29.2
B506	2.308-	7	ULS-Set  B  (auto)/1	0.0	-0.1	0.1
B506	2.308-	13	ULS-Set  B  (auto)/2	0.0	-25.6	25.6
B507	2.300+	1	ULS-Set  B  (auto)/1	0.0	-1.6	1.6
B507	2.300-	13	ULS-Set  B  (auto)/2	0.0	-39.2	39.2
B508	2.283-	1	ULS-Set  B  (auto)/1	0.0	-13.2	13.2
B508	2.283+	13	ULS-Set  B  (auto)/2	0.0	-52.2	52.2
B509	2.258-	1	ULS-Set  B  (auto)/1	0.0	-24.0	24.0
B509	2.258+	13	ULS-Set  B  (auto)/2	0.0	-63.7	63.7
B510	2.226+	1	ULS-Set  B  (auto)/1	0.0	-29.6	29.6
B510	2.226-	13	ULS-Set  B  (auto)/2	0.0	-67.9	67.9
B511	2.186-	13	ULS-Set  B  (auto)/1	30.7	0.0	30.7
B511	2.186+	1	ULS-Set  B  (auto)/2	81.8	0.0	81.8
B512	2.216-	13	ULS-Set  B  (auto)/1	20.0	0.0	20.0
B512	2.216+	1	ULS-Set  B  (auto)/2	67.7	0.0	67.7
B513	2.239-	13	ULS-Set  B  (auto)/1	10.0	0.0	10.0
B513	2.239+	1	ULS-Set  B  (auto)/2	54.2	0.0	54.2
B514	2.255-	13	ULS-Set  B  (auto)/1	0.4	0.0	0.4
B514	2.255+	1	ULS-Set  B  (auto)/2	40.7	0.0	40.7
B515	2.263-	5	ULS-Set  B  (auto)/1	2.1	0.0	2.1
B515	2.263+	1	ULS-Set  B  (auto)/2	27.3	0.0	27.3
B516	2.263-	7	ULS-Set  B  (auto)/1	0.6	0.0	0.6
B516	2.263-	13	ULS-Set  B  (auto)/2	0.0	-23.6	23.6
B517	2.255-	1	ULS-Set  B  (auto)/1	0.0	0.0	0.0
B517	2.255-	13	ULS-Set  B  (auto)/2	0.0	-35.4	35.4
B518	2.239+	1	ULS-Set  B  (auto)/1	0.0	-10.9	10.9
B518	2.239-	13	ULS-Set  B  (auto)/2	0.0	-47.5	47.5
B519	2.216-	1	ULS-Set  B  (auto)/1	0.0	-22.3	22.3
B519	2.216+	13	ULS-Set  B  (auto)/2	0.0	-60.1	60.1
B520	2.186+	1	ULS-Set  B  (auto)/1	0.0	-30.0	30.0
B520	2.186-	13	ULS-Set  B  (auto)/2	0.0	-67.2	67.2
B521	2.121-	13	ULS-Set  B  (auto)/1	28.3	0.0	28.3
B521	2.121+	1	ULS-Set  B  (auto)/2	76.1	0.0	76.1
B522	2.147-	13	ULS-Set  B  (auto)/1	15.2	0.0	15.2
B522	2.147+	1	ULS-Set  B  (auto)/2	58.7	0.0	58.7
B523	2.168-	13	ULS-Set  B  (auto)/1	5.7	0.0	5.7
B523	2.168+	1	ULS-Set  B  (auto)/2	45.7	0.0	45.7
B524	1.587	12	ULS-Set  B  (auto)/1	0.5	-0.5	0.9
B524	2.182+	1	ULS-Set  B  (auto)/2	34.9	0.0	34.9
B525	2.189-	5	ULS-Set  B  (auto)/1	1.3	0.0	1.3
B525	2.189+	1	ULS-Set  B  (auto)/2	24.5	0.0	24.5
B526	1.990	7	ULS-Set  B  (auto)/1	1.5	0.0	1.5
B526	2.189-	13	ULS-Set  B  (auto)/2	0.0	-20.7	20.7
B527	1.190	1	ULS-Set  B  (auto)/1	0.9	-0.7	1.4
B527	2.182-	13	ULS-Set  B  (auto)/2	0.0	-29.7	29.7
B528	2.168-	1	ULS-Set  B  (auto)/1	0.0	-6.6	6.6
B528	2.168+	13	ULS-Set  B  (auto)/2	0.0	-39.4	39.4
B529	2.147-	1	ULS-Set  B  (auto)/1	0.0	-18.0	18.0
B529	2.147+	13	ULS-Set  B  (auto)/2	0.0	-52.2	52.2
B530	2.121+	1	ULS-Set  B  (auto)/1	0.0	-29.2	29.2
B530	2.121-	13	ULS-Set  B  (auto)/2	0.0	-64.3	64.3
B531	2.035-	13	ULS-Set  B  (auto)/1	17.5	0.0	17.5
B531	2.035+	1	ULS-Set  B  (auto)/2	58.5	0.0	58.5
B532	2.056-	13	ULS-Set  B  (auto)/1	5.8	0.0	5.8
B532	2.056+	1	ULS-Set  B  (auto)/2	42.8	0.0	42.8
B533	2.073-	13	ULS-Set  B  (auto)/1	0.7	0.0	0.7
B533	2.073+	1	ULS-Set  B  (auto)/2	35.6	0.0	35.6
B534	1.251	12	ULS-Set  B  (auto)/1	0.5	-1.1	1.4
B534	2.084+	1	ULS-Set  B  (auto)/2	29.2	0.0	29.2
B535	2.090-	5	ULS-Set  B  (auto)/1	0.2	0.0	0.2
B535	2.090+	1	ULS-Set  B  (auto)/2	20.9	0.0	20.9
B536	2.090-	7	ULS-Set  B  (auto)/1	0.5	0.0	0.5
B536	2.090-	13	ULS-Set  B  (auto)/2	0.0	-19.8	19.8
B537	1.251	1	ULS-Set  B  (auto)/1	1.0	-0.4	1.2
B537	2.084-	13	ULS-Set  B  (auto)/2	0.0	-26.8	26.8
B538	2.073+	1	ULS-Set  B  (auto)/1	0.0	-3.4	3.4
B538	2.073-	13	ULS-Set  B  (auto)/2	0.0	-32.1	32.1
B539	2.056-	1	ULS-Set  B  (auto)/1	0.0	-10.4	10.4
B539	2.056+	13	ULS-Set  B  (auto)/2	0.0	-39.1	39.1
B540	2.035+	1	ULS-Set  B  (auto)/1	0.0	-21.1	21.1
B540	2.035-	13	ULS-Set  B  (auto)/2	0.0	-51.0	51.0
B541	1.930-	13	ULS-Set  B  (auto)/1	3.4	0.0	3.4
B541	1.930+	1	ULS-Set  B  (auto)/2	36.0	0.0	36.0
B542	1.946-	13	ULS-Set  B  (auto)/1	10.3	0.0	10.3
B542	1.946+	1	ULS-Set  B  (auto)/2	45.2	0.0	45.2
B543	1.958-	13	ULS-Set  B  (auto)/1	1.3	0.0	1.3
B543	1.958+	1	ULS-Set  B  (auto)/2	32.6	0.0	32.6
B544	1.967-	11	ULS-Set  B  (auto)/1	0.1	0.0	0.1
B544	1.967+	1	ULS-Set  B  (auto)/2	15.3	0.0	15.3
